# academic_year	work_type	official_deadline	recommended_finish	deferred_window	notes
2025/2026	BP	2026-05-13	2026-05-06	July 2026	Standard BP submission deadline. Students usually need to finish about one week earlier for printing. Deferred/August-defense submissions usually happen in July; record the exact case-specific date in case.md as Deadline override.
2025/2026	DP	2026-05-20	2026-05-13		Standard DP submission deadline. Students usually need to finish about one week earlier for printing.
